program,memmap_bytes,sections_csv_excluded_bytes
qgis-git-libprovider_mdal.so,13302426,662263
hevea-esponja,2946750,244905
lxc-git-lxc-console,8790451,337877
frr-git-zebra,10110765,755375
freecad-MeshGui.so,9244258,265296
emulationstation-git-emulationstation,26870486,1913271
doom64ex-git-doom64ex,10486538,551962
libtgbot-cpp-git-libTgBot.so.1,8686083,348168
cppmicroservices-git-libCppMicroServices.so.4.0.0,8967430,337603
qt5-datavis3d-git-libQt5DataVisualization.so.5.15.3,11273654,792138
delphes-git-libDelphesDisplay.so,24166787,561600
snowman-git-nocode,24786567,2143941
kbibtex-libkbibtexnetworking.so.0.9,6720574,279283
pdfmixtool-git-pdfmixtool,5034220,310235
highs-git-libhighs.so.1.0.0,29985670,1716667
geany-git-libgeany.so.0.0.0,37089153,1730790
i2pd-libi2pdclient.so,14682458,525550
qt6-base-git-libQt6Core.so.6.2.0,52241818,4400663
pmc-git-libpmc.so,6881109,255649
pencil2d-mypaint-git-pencil2d,24724073,1439332
marsyas-libmarsyas.so,48261545,3208387
unarchiver-unar,15939213,358283
rtklib-emlid-git-rtknavi_qt,20663047,558405
qbs-git-libqbscore.so.1.20.0,40545575,3024567
fcitx5-classicui.so,11057440,976970
realsr-ncnn-vulkan-git-realsr-ncnn-vulkan,42452302,1495333
iempluginsuite-EnergyVisualizer.so,29530375,862039
logiops-git-logid,5087265,514966
grive-git-grive,14179859,858576
avisynth-plugin-rgtools-git-librgtools.so,21472807,59986
vmaf-vmaf_rc,9236708,461125
chuck-chuck,17105839,1142717
peony-libpeony.so.3.1.0,19883001,1151267
sentencepiece-git-libsentencepiece_train.so.0.0.0,8455429,160868
chaiscript-git-chai,19907520,1865735
rawtherapee-git-rawtherapee-cli,73057866,1882880
qt6-declarative-git-qmlformat,35795228,3688364
numworks-omega-git-numworks-omega,41020260,3098252
iwd-git-iwd,13202608,966339
prjtrellis-git-libtrellis.so,10631757,329012
open-fpga-loader-git-openFPGALoader,8691248,542869
iempluginsuite-StereoEncoder,19006243,1108478
gri-git-gri,10911293,641627
apitrace-egltrace.so,30725986,3828556
nauz-file-detector-git-nfd,16759708,910298
mc-git-mc,14185045,776608
dcmtk-git-dcmsr_tests,9278531,239860
falltergeist-git-falltergeist,24277020,2295558
capnproto-git-libcapnpc.so.0.9-dev,10398493,364848
carla-git-carla-discovery-native,31250221,2145469
s3fs-fuse-s3fs,9596864,412854
angband-git-angband,18622680,1210907
qgis-git-libprovider_wms.so,9459168,477314
argyllcms-chartread,19778565,628947
projecteur-git-projecteur,8271168,865651
gitlab-gitaly-nokogiri.so,14142557,697667
opendht-git-libopendht.so.2.3.0,18038316,969062
pari-git-libpari-gmp-tls-2.14.so.0.0.0,96506664,3337848
vtk-libvtkm_cont.so.1,8548975,1048846
iempluginsuite-ToolBox.so,28354248,836901
form-git-form,26150418,637459
noson-app-git-noson-cli,10345444,609949
dyninst-git-libdyninstAPI.so.11.0.1,28242280,2322938
bdsup2subpp-git-bdsup2subpp,15823828,708534
usd-_ndr.so,5307225,231808
cmake-git-ccmake,63387530,2871470
flif-git-libflif.so,12136555,816624
schroot-schroot-mount,6008683,507217
qdmr-git-libdmrconf.so.0.8.0,10015343,260758
bertini_real-git-bertini_real,19501087,504073
quassel-client-lighter-git-libquassel-uisupport.so.0.13.90,7735946,367446
hm-MCTSExtractorHighBitDepthStatic,8558602,422427
usd-_usdRi.so,5946253,273782
chicken-git-libchicken.so.11,43160370,2856721
argyllcms-iccgamut,9989739,288669
rz-cutter-cutter,27541714,2026379
speedcrunch-speedcrunch,11479254,928667
procalc-git-procalc,19589670,1626133
ngspice-git-libngspice.so.0.0.0,69652427,279622
gerbil-git-qgerbil,19261543,1123299
tellico-tellico,47642492,2566506
freecad-PartGui.so,19030159,509238
lepton-git-lepton-avx,27925567,1120946
adios2-libadios2_core_mpi.so.2.7.1,7340396,126361
applewin-git-libappleii.so,8808782,222187
sigdigger-SigDigger,12013911,615422
form-git-tform,29450591,668758
irrlamb-git-irrlamb,45730549,2071300
capnproto-capnpc-c++,10155312,414376
qcad-git-libqtscript_gui.so.1.0.0,18570816,502212
grcompiler-git-grcompiler,19509778,949178
cairo-dock-git-libgldi.so.3.4.99.alpha1,7311529,161842
iempluginsuite-ToolBox,33676549,2714152
tinyfecvpn-git-tinyvpn,9578089,435193
supercollider-graphloopgrain-git-FluidGraphGrain.so,8796532,602250
libretro-thepowdertoy-git-thepowdertoy_libretro.so,25584336,642135
ngt-git-libngt.so.1.13.7,3538806,75014
libime-libIMECore.so.1.0.7,9875802,709730
qt6-base-git-qmake6,23963892,1003413
vokoscreen-git-vokoscreenNG,8967595,314978
schroot-schroot-sbuild,11123718,864380
hm-git-TAppEncoderHighBitDepthStatic,17595549,637872
freac-git-freac.so,13621817,359977
emacs-git-emacs-28.0.50,40649115,2101038
carla-git-libcarla_standalone2.so,55763032,3506961
ugene-git-libU2Designer.so,9478174,245925
saba-git-mmd2obj,8621636,687929
dsda-doom-git-dsda-doom,18298828,718772
libretro-picodrive-git-picodrive_libretro.so,17484833,472750
quickstack-git-quickstack,6305978,249867
qt6-base-git-rcc,8244934,552927
dcmtk-git-dcmdata_tests,10933767,253069
dcmtk-git-libdcmdata.so.16.3.6.6,13923997,320675
fcitx5-libFcitx5Core.so.5.0.8,10698878,878567
qt5pas-libQt5Pas.so.1.2.9,5536280,764049
vigra-learning.so,12158764,997363
lxc-git-lxc-execute,8800523,338280
quiterss-quiterss,25410630,1016943
ragel-ragel,18257321,795846
glib2-nodocs-git-libglib-2.0.so.0.6900.0,9579279,660568
lua-luaossl-_openssl.so,2665536,254870
funtools-git-funhist,9900572,235730
lxc-git-liblxc.so.1.7.0,10425458,404601
iempluginsuite-SimpleDecoder,35948962,2814077
prboom-plus-um-git-prboom-plus,14739594,471391
nauz-file-detector-git-nfdc,15902363,867639
opensta-git-sta,31838999,3938996
pencil2d-git-pencil2d,20707686,1197912
mpd-git-mpd,23206357,1859973
argyllcms-xicclu,11488951,304419
newton-dynamics-git-libdgPhysics.so,8598155,154706
svt-vp9-libSvtVp9Enc.so.1,17004248,165914
detect-it-easy-git-diec,12695764,845974
emacs-lucid-git-emacs-28.0.50,38535713,1906683
lxc-git-lxc-create,8811994,336823
raxml-standard-git-raxmlHPC-SSE3,14030872,213139
gsl-git-libgsl.so.25.1.0,26963234,518777
hm-git-TAppDecoderHighBitDepthStatic,8985896,418306
apitrace-qapitrace,12262688,703713
geos-git-libgeos.so.3.10.0dev,13181418,355336
applewin-git-sa2,13922940,752874
carl-master14-git-libcarl.so.14.20,6459504,180408
clang-build-analyzer-git-ClangBuildAnalyzer,11195716,387461
sigil-sigil,52812434,2814470
carla-git-libcarla_native-plugin.so,51726871,3372645
i2pd-git-i2pd,8899201,629238
librdkafka-git-librdkafka.so.1,12977356,393504
netgen-git-libstl.so,8543971,566129
funtools-git-funjoin,10039789,237612
game_music_emu-kode54-git-libgme.so.0.6.0,8517671,184124
svt-av1-libSvtAv1Dec.so.0.8.6,27422099,423886
freecad-FemGui.so,11264941,313575
brahms-git-component.so,15120211,858532
3dstool-git-3dstool,29078834,1850680
lith-git-lith,4876814,268960
fqterm-git-fqterm.bin,16569059,765353
iempluginsuite-MatrixMultiplier,33684313,2715212
pocl-git-libpocl.so.2.8.0,9878187,533145
libabigail-git-libabigail.so.0.0.0,33050854,1393182
iempluginsuite-StereoEncoder.so,29415271,1052294
dcda-git-DanpeCommDubugAssist,9763423,319209
libretro-virtualjaguar-git-virtualjaguar_libretro.so,11695471,798670
synapse-git-synapse,10542432,616004
hedgewars-hedgewars,12839133,532006
vtk-libvtkFiltersExtraction.so.1,8894588,405736
nginx-rtmp-sergey-git-nginx,18044231,641131
dino-git-libxmpp-vala.so.0.1,8795392,363664
gegl-git-gegl-common.so,7021518,189056
hyperrogue-git-hyperrogue,61268927,2426048
quassel-client-lighter-git-libquassel-client.so.0.13.90,7641262,500759
qt6-base-git-libQt6DBus.so.6.2.0,9469413,770432
nginx-mainline-nginx,16950138,558673
redis-git-redis-server,16218137,1181120
elinks-elinks,13063093,631299
qt6-base-git-moc,11612348,761221
i2pd-git-libi2pdclient.so,14909201,532246
libretro-vice-git-vice_x64_libretro.so,23599847,1397494
gerbil-git-gerbil,8945560,517815
lib2geom-git-lib2geom.so.1.1.0,11480201,255631
elfparser-git-elfparser,7988957,493659
hm-git-TAppEncoderStatic,17955225,640146
fio-git-gfio,10077271,317747
rspamd-librspamd-replxx.so,6462597,253777
csmith-git-csmith,10401581,804870
efl-module.so,18221372,831928
enlightenment-module.so,13661776,579996
osmid-m2o,12525467,768130
efl-libedje.so.1.25.1,11120915,364930
luminancehdr-luminance-hdr,29815338,1444306
g2o-git-libg2o_types_slam2d.so,5568120,296347
libretro-pcsx-rearmed-git-pcsx_rearmed_libretro.so,12128646,261140
schroot-dchroot,11217481,868515
glhack-glhack,9183783,482808
flucoma-cli-git-fluid-hpss,6791676,486715
swi-prolog-libswipl.so.8.2.4,16813049,939986
eternity-engine-git-eternity,35913448,2021834
pageedit-pageedit,8987178,377948
carla-git-CarlaPatchbay16.so,52212196,3415340
qgo-git-qgo,16836460,649519
freecad-Part.so,25487636,997086
pythonqt-git-libPythonQt-Qt5-Python3.so.3.2.0,13060101,693963
mate-panel-mate-panel,5676039,273906
gmic-gmic_krita_qt,6634567,289701
julius-game-git-julius-game,12473930,917882
iempluginsuite-FdnReverb,19210098,1102088
gitlab-gitaly-pg_query.so,9466105,348156
bear-git-citnames,24296041,1553371
moarvm-git-libmoar.so,19581871,404560
coxeter-libcoxeter3.so,6197219,155655
kgraphviewer-git-libkgraphviewer.so.2.4.3,8593863,497077
iempluginsuite-DualDelay,19165864,1110313
qt5-3d-git-libopenglrenderer.so,14850469,908157
carla-git-CarlaRackFX.so,52211528,3415177
serial-studio-git-serial-studio,6105472,444572
qt5-charts-git-libQt5Charts.so.5.15.3,11209256,951955
sentencepiece-git-libsentencepiece.so.0.0.0,10928151,318322
qgis-git-libprovider_postgres.so,11337742,542068
conky-git-conky,9192503,473244
apitrace-eglretrace,28435685,3301587
qtxlsxwriter-git-libQtXlsxWriter.so,6856981,211598
vtk-libvtkFiltersCore.so.1,40564296,1844897
iempluginsuite-CoordinateConverter.so,28745604,844330
vtk-libvtkRenderingCore.so.1,12110802,888416
nanoboyadvance-git-NanoBoyAdvance,18538703,1256374
mkxp-git-mkxp,11513768,770313
munt-git-mt32emu-qt,6970896,390161
libquotient-git-libQuotient.so.0.7.0,13244849,963366
gsoap-wsdl2h,12438999,579082
libretro-beetle-saturn-git-mednafen_saturn_libretro.so,57259048,2749124
argyllcms-mppcheck,12013612,313951
mve-git-texrecon,20911137,1466812
cmvs-pmvs-git-cmvs,9384569,314561
iempluginsuite-AllRADecoder.so,33602395,930227
iempluginsuite-PluginTemplate,33620058,2711209
quetoo-git-quetoo,6005047,304422
jucipp-git-juci,38904907,3135197
dll-bundler-git-dll-bundler,37380854,1727609
log4cxx-git-liblog4cxx.so.10.0.0,9075947,401019
gnutls-nodocs-git-libgnutls.so.30.30.0,19087245,477900
freerct-git-freerct,9496716,647285
pcloudcc-git-libpcloudcc_lib.so,19692001,1060342
moneymanagerex-git-mmex,46631758,3514870
signus-git-signus,9550715,335769
liquid-dsp-git-libliquid.so,8127493,183272
qbs-git-libiarewgenerator.so,5576571,203445
ckb-next-git-ckb-next,15808911,700696
argyllcms-tiffgamut,10123033,289302
qjackctl-git-qjackctl,12467025,558810
ngspice-git-ngspice,69864117,642900
ugene-git-libU2View.so,37986409,824747
libretro-prboom-git-prboom_libretro.so,8100387,287048
qcad-git-libqtscript_network.so.1.0.0,5866737,210224
profanity-git-profanity,5308576,463440
pingus-git-pingus,25580287,2230703
dtools-dtools-dget,8861581,522369
caffe-git-libcaffe.so.1.0.0,19514944,582472
lxc-git-lxc-device,8801620,338090
mve-git-smvsrecon,11918243,766784
libvarnam-ibus-git-ibus-engine-varnam,5543462,265560
lua-language-server-bee.so,10494276,600916
canorus-git-canorus,14655540,897942
mgba-mgba-qt,15892311,598625
freecad-Path.so,10256633,318379
nanopolish-git-nanopolish,19806367,1104704
hashclash-git-sha1_diffpathforward,5805877,560795
carla-git-CarlaPatchbay64.so,52209904,3415328
argyllcms-greytiff,30099619,420109
muffin-git-libmuffin-clutter-0.so,12208352,781415
ceres-solver-git-libceres.so.2.0.0,43368416,3904093
squid-squid,63619557,4873751
funtools-git-funtable,9947043,237112
carla-git-CarlaRack.so,52211990,3415264
brltty-git-brltty,7627936,557899
cbmc-git-goto-cc,31431876,1695999
latte-dock-git-latte-dock,23324132,1558270
qgis-git-_analysis.so,4163761,160596
funtools-git-funcone,10050419,238227
rtklib-emlid-git-rtkpost_qt,16070544,458689
qt6-declarative-git-libQt6Qml.so.6.2.0,58146620,4481489
exiv2-git-libexiv2.so.1.0.0.9,20399999,1176454
homebank-homebank,8414269,315276
bash-xdg-dirs-git-bash,10717892,487943
vmaf-libvmaf.so.0.0.0,13896386,766235
iempluginsuite-SceneRotator.so,29704843,877512
ctags-git-optscript,15957962,1207550
iempluginsuite-PluginTemplate.so,28200935,835181
liblas-liblas.so.2.4.0,7756570,197361
fcitx5-configtool-fcitx5-config-qt,5829231,367651
sagemath-matrix_modn_dense_float.cpython-39-x86_64-linux-gnu.so,7819310,148358
odr-dabmod-git-odr-dabmod,9252321,653820
mumble-murmurd,31289835,3105695
ncmpcpp-ncmpcpp,16476901,994575
omake-git-omake,12249991,1148735
utox-utox,10949428,205401
kolourpaint-git-kolourpaint,10780974,776304
hm-git-TAppDecoderStatic,9220779,419966
hm-TAppEncoderHighBitDepthStatic,17271227,629634
skyscraper-git-Skyscraper,12498142,476073
xine-ui-xine,11154688,443173
herbstluftwm-herbstluftwm,11328584,589552
sunshine-git-sunshine,34015640,2256738
qt6-base-git-uic,6811200,467516
frr-git-ospfd,8184510,527719
fltk-libfltk.so.1.3.6,9232724,218218
emacs-nox-emacs-27.2,28987222,1579972
hashclash-git-sha1_attackgenerator,8111417,705057
neovim-qt-nvim-qt,19383818,1310245
freecad-libStdMeshers.so,29128296,839827
freecad-Spreadsheet.so,7730658,257415
kvirc-git-kvirc,33092175,2819106
snowman-git-snowman,36454984,1582075
openal-minimal-git-libopenal.so.1.21.1,10059157,572797
qdirstat-git-qdirstat,14502367,791357
openmodelica-git-OMNotebook,3026525,90360
alpine-git-rpdump,9458175,332382
openocd-git-openocd,26167457,1301144
shaderwriter-git-libsdwCompilerSpirV.so.0.1,11987227,391116
photoflare-photoflare,7716036,226210
freecad-Mesh.so,31871946,885427
ospray-libospray_module_mpi.so.2.6.0,7010356,375635
craftos-pc-git-craftos,9356155,767917
aqualung-git-aqualung,8492496,304921
libime-libime_slm_build_binary,5955585,411637
chocolate-doom-git-chocolate-hexen,7785272,418933
efl-elementary_test,13934920,351573
icebrolite-git-icebrolite,11126555,617899
libclsp-git-libclsp.so.0.1.3,17407371,1977741
nageru-nageru,17616774,1141711
opl3bankeditor-git-opl3_bank_editor,10227749,475445
ugene-git-ugeneui,9743474,506110
popsicle-git-popsicle-gtk,7150153,171377
exult-git-exult,48069695,2204146
capnproto-git-capnpc-c++,11474377,452422
caffe-git-_caffe.so,6705675,853626
vtk-libvtkFiltersPoints.so.1,7341225,509597
proj-libproj.so.22.1.0,36842959,1921114
flif-git-libflif_dec.so,8892503,618876
qt6-base-git-libqsqlite.so,19426177,841984
iempluginsuite-EnergyVisualizer,34976003,2801375
libtas-git-libTAS,10419489,591706
python2-pyca-git-_Core.so,10762550,1151036
fossil-gemini-git-fossil,6422366,469640
sollya-git-libsollya.so.7.0.0,19717846,901496
libsedml-libsedml.so.0.4.4,30269090,846948
carla-git-CarlaPatchbay32.so,52209904,3415328
spatialindex-libspatialindex.so.6.1.1,5624571,141894
srt-git-srt-tunnel,10884872,704386
augustus-game-git-augustus-game,15758668,1152029
assaultcube-reloaded-git-native_client,12973310,354481
radeon-profile-git-radeon-profile,6993384,297799
ugene-git-libball.so,6956414,239034
vigra-sampling.so,7856614,775437
iempluginsuite-MultiEQ,35517309,2790250
mygui-LayoutEditor,11285092,793584
daphne-git-daphne,7086607,433741
boostchanger-git-libGLESv2.so,21768661,1616275
gstreamer-git-libgstreamer-1.0.so.0.1901.0,11776419,612924
trellis-git-pytrellis.so,45026578,3854914
librime-librime.so.1.7.3,12099463,273779
vtk-libvtkInteractionWidgetsPython39D.so.1,10251932,1453760
libtas-git-libtas.so,10043465,649854
kdevelop-git-libKDevPlatformLanguage.so.5.6.40,24531288,1547999
iempluginsuite-DirectionalCompressor.so,29720245,1059513
glslang-minimal-git-libglslang.so.11.5.0,20389673,346826
denemo-git-denemo,15744267,958199
higan-higan,45177182,3016035
libstxxl-stxxl_tool,30621216,1328529
pari-git-gp-2.14,100972662,6768978
g2o-git-libg2o_solver_eigen.so,6645747,289655
qtractor-git-qtractor,41129701,2271594
scite-liblexilla.so,25839680,520309
carla-git-carla.so,52116273,3385772
serialtool-git-SerialTool,6438179,306066
kdevelop-git-kdevheaptrack.so,5655099,235474
miller-git-mlr,7894900,474719
ruqola-git-libruqolacore.so.1.4.53,14100231,755775
ompl-git-libompl.so.1.5.2,32570627,788100
rtorrent-rtorrent,19646029,1577354
usd-_usdSkel.so,6962766,291089
openexr-git-libOpenEXR-3_1.so.29.0.0,11596281,589009
vvave-vvave,10277008,420556
museekd-git-museekd,21811017,2778285
freedroidrpg-freedroidRPG,9187098,433602
lxc-git-lxc-user-nic,8891636,339816
g2o-git-libg2o_types_sba.so,6867371,375999
polybar-git-polybar,22340819,1879565
libretro-genesis-plus-gx-wide-git-genesis_plus_gx_wide_libretro.so,14587127,687481
kddockwidgets-git-libkddockwidgets.so.1.4.95,7902878,467986
vmaf-vmafossexec,9870011,575381
bees-git-bees,7311174,410605
krb5-minimal-git-libkrb5.so.3.3,6727150,219129
mosh-sshagent-git-mosh-client,5192025,369394
gmic-gmic_qt,6008503,207891
proxmark3-proxmark3,21876271,1056147
lxc-git-lxc-start,8811848,338103
gnucap-gnucap,21206672,811586
hashclash-git-sha1_diffpathbackward,6035271,570682
lxc-git-lxc-config,8777071,336133
g2o-git-libg2o_types_slam3d_addons.so,6967133,393459
freerdp-libfreerdp2.so.2.3.2,16417859,350454
freecad-libSMESH.so,27682476,825036
dlt-viewer-git-dlt-viewer,12213517,518464
armagetronad-git-armagetronad_bin,40354841,3870332
hm-TAppDecoderHighBitDepthStatic,8745099,413049
gnupg-minimal-git-gpg,13293275,459796
powertop-powertop,5714627,340615
vym-vym,20195840,987930
qlcplus-git-libqlcplusengine.so.1.0.0,11824530,252140
nchat-git-nchat,9200772,1005766
gitlab-gitaly-rugged.so,11143539,662298
dudestar-git-dudestar,10132908,287901
premake-git-premake5,14638776,645118
xmrig-donateless-git-xmrig,21392698,981557
python2-eispice-git-simulator_.so,8017103,135344
cbmc-git-cbmc,64293370,3645250
obs-plugin-tuna-git-tuna.so,11168237,420071
armagetronad-armagetronad_bin,15175997,1132430
carla-git-CarlaPatchbayFX.so,52211564,3415177
lftp-git-lftp,15432152,1050248
qmc-decoder-git-qmc-decoder,8932727,403411
flucoma-cli-git-fluid-sines,7547509,547958
gapc-git-gapc,20484738,1908222
vtk-libvtkImagingCore.so.1,14638595,445953
libgee-git-libgee-0.8.so.2.6.1,8086659,469818
muffin-git-libmuffin.so.0.0.0,7576702,192634
freeimage-libfreeimage-3.18.0.so,8011792,162789
vtk-libvtkRenderingOpenGL2.so.1,13998811,1001247
adlplug-ADLplug,41948583,3267571
libcmatrix-libcmatrix.so.3.11.0,7628882,209496
hpmvs-git-hpmvs,11691443,767647
chicken-git-chicken,30004738,2097356
qt5-shadertools-git-libQt5ShaderTools.so.6.0.0,44160660,2851519
symengine-git-libsymengine.so.0.7.0,29260340,1144165
cmvs-pmvs-git-pmvs2,13133999,529634
redtimer-git-redtimer,5889352,427120
vtk-libvtkChartsCore.so.1,10117660,582422
kodi-addon-pvr-hts-git-pvr.hts.so.8.3.4,6788273,215443
flucoma-cli-git-fluid-transients,7942158,526016
glib2-nodocs-git-libgio-2.0.so.0.6900.0,15493170,1151710
muffin-git-libmuffin-cogl-0.so,6954264,299142
argyllcms-dispwin,21365748,773806
delphes-git-libDelphes.so,23089910,529467
bitchx-git-BitchX-1.2.1-419-geaf6456,16074623,376666
flif-git-libflif.so.0,12136565,812670
liero-git-openliero,10100468,500424
netgen-git-libcsg.so,15032768,1138900
bertini_real-git-sampler,21247078,544237
gambit-c-gsi,4020556,136932
quassel-quassel,54561892,3208388
tintin-git-tt++,9010293,363160
hm-TAppDecoderAnalyserStatic,9309209,426374
rssguard-librssguard.so,30344856,773906
i2pd-i2pd,8348933,593311
qcad-git-libqcadentity.so,6959923,157208
kdevelop-git-kdevqmljslanguagesupport.so,16652072,1099988
libcamera-git-libcamera.so,10612347,1444450
dcmtk-git-libcmr.so.16.3.6.6,8499901,183123
abletonlink-LinkDiscoveryTest,6951653,381864
fceux-git-fceux,28597871,1517145
funtools-git-funsky,9862325,237012
xlockmore-xlock,23721154,286092
hashclash-git-md5_diffpathhelper,6641668,518437
aplugedit-git-aplugedit,9979809,507762
gfxreconstruct-git-libVkLayer_gfxreconstruct.so,7335748,298253
argyllcms-colprof,13002992,325114
freecad-Robot.so,10058551,381822
multimc-git-multimc,15873164,617196
mgard-libmgard.so.0.1.0,7142856,120724
mitie-git-libmitie.so,8412581,202499
marsyas-marsyas-inspector,8388440,798255
shaderwriter-git-libsdwShaderWriter.so.0.1,8415082,260536
ecwolf-git-ecwolf,18352714,895411
quassel-core-lighter-git-libquassel-common.so.0.13.90,10977571,633672
abaddon-git-abaddon,36223700,2785151
libretro-play-play_libretro.so,14079138,444005
telegram-qt-libtelegram-qt5.so.0.1.0,6184948,171391
efl-git-libelementary.so.1.25.99,22099403,715084
libretro-genesis-plus-gx-git-genesis_plus_gx_libretro.so,14488325,685487
libretro-snes9x-snes9x_libretro.so,11807889,661989
opencamlib-git-ocl.so,8847919,412725
efl-git-libevas.so.1.25.99,8681910,261190
g2o-git-libg2o_solver_dense.so,6306814,291039
ashes-git-libashesGlRenderer.so.1.0,21076574,390154
efl-libecore_con.so.1.25.1,4970747,181347
carla-git-CarlaPatchbay.so,52209878,3415328
quassel-quasselcore,24066418,1544267
l-smash-x264-tmod-git-liblsmash.so.2,8083640,482042
fluxbox-git-fluxbox,17592237,1336971
krename-git-krename,10380602,386263
craft-git-craft,14079460,498749
groopsgui-git-groopsGui,12698550,832936
freecad-SketcherGui.so,18737920,413868
gprolog-gprolog,7588089,782127
qalculate-gtk-git-qalculate-gtk,21194646,621410
soapysdr-git-_SoapySDR.so,8895742,467256
gpac-git-libgpac.so.10.8.0,99591310,4878417
lcd-image-converter-git-lcd-image-converter,10746198,576363
openmc-git-libopenmc.so,31005175,890341
podofo-git-libpodofo.so.0.9.7,13952706,367413
tup-tup,15917344,772332
lxc-git-lxc-ls,8949859,341025
libretro-mupen64plus-next-git-mupen64plus_next_libretro.so,42083500,2709322
gpgme-python-git-_gpgme.so,4278950,260488
libretro-mesen-git-mesen_libretro.so,37702693,2301757
dcmtk-git-libdcmpstat.so.16.3.6.6,11617042,254987
nginx-mod-njs-ngx_http_js_module.so,8927263,272537
owncloud-client-owncloud,18374186,995867
libqofono-git-libqofono-qt5.so.0.103.0,5455125,187077
apron-git-libapron.so,7662779,330949
sink-libsink_resource_imap.so,5638774,235500
telegram-purple-git-telegram-purple.so,12433292,313353
quassel-client-lighter-git-libquassel-qtui.so.0.13.90,22652551,1128190
sisl-git-libsisl.so,15845946,56312
tilemaker-git-tilemaker,40603140,2922454
argyllcms-fakeread,12077165,315299
schismtracker-git-schismtracker,9796209,348899
usd-_usdLux.so,4639465,223704
r2ghidra-core_ghidra.so,21413961,1914715
kdevelop-git-kdevgdb.so,6918158,322865
qt6-declarative-git-libQt6QmlModels.so.6.2.0,7891703,594557
iempluginsuite-OmniCompressor.so,29141026,1047593
qt6-declarative-git-qmldom,35788743,3686262
libopenshot-audio-git-libopenshot-audio.so.0.2.0,17247053,617026
qt5-wayland-bugfixport-git-libQt5WaylandCompositor.so.5.15.3,7937866,1097335
libbobcat-libbobcat.so.5.07.03,7342287,275310
sagemath-matrix2.cpython-39-x86_64-linux-gnu.so,25734548,210415
iempluginsuite-MultiEncoder.so,29680673,1059173
cockatrice-server-git-servatrice,18737659,1727700
sink-libsink_resource_caldav.so,3598396,194559
kdevelop-git-libKDevClangPrivate.so.35,9177938,558447
kile-git-libkdeinit5_kile.so,39217016,1976083
iempluginsuite-MultiEncoder,19990557,1156493
arma3-linux-launcher-git-arma3-unix-launcher,12852013,781534
reactphysics3d-libreactphysics3d.so.0.8.0,9914913,130878
nim-nim1,39691394,1550077
nim-nim2,40185997,1553776
capnproto-libkj-http.so.0.8.0,6156075,296505
proxmark3-iceman-git-proxmark3,15197817,841957
chaiscript-git-libchaiscript_stdlib-7.0.0.so,11905410,490507
badvpn-git-badvpn-ncd,7690337,523618
nextcloud-client-libnextcloudsync.so.3.2.4,16201113,409787
task-task,17164565,736500
